OrderId,OrderStatus,OrderType,IsBusinessOrder,IsReplacementOrder,PurchaseDate,Year,YearMonth,YearQuarter,YearWeek,weekday,LastUpdateDate,LatestShipDate,NumberOfItemsShipped,NumberOfItemsUnshipped,ShipDate,Amount,PostalCode,CountryCode,City,Province,Region
350,Shipped,StandardOrder,0,0,2022-10-05 12:34:08,2022,202210,2022Q4,2022W40,3,2022-10-06 01:55:31,2022-10-05 23:59:59,2,0,2022-10-05 23:59:59,37.98,17021,IT,ALASSIO,SV,LIGURIA
425,Shipped,StandardOrder,0,0,2022-10-10 09:45:14,2022,202210,2022Q4,2022W41,1,2022-10-10 15:06:08,2022-10-11 23:59:59,1,0,2022-10-11 23:59:59,19.99,09040,IT,GUASILA,CA,SARDEGNA
390,Shipped,StandardOrder,1,0,2022-10-07 04:16:29,2022,202210,2022Q4,2022W40,5,2022-10-08 03:21:07,2022-10-08 23:59:59,2,0,2022-10-08 23:59:59,37.96,00049,IT,VELLETRI,RM,LAZIO
016,Shipped,StandardOrder,0,0,2022-08-06 17:39:26,2022,202208,2022Q3,2022W31,6,2022-08-07 17:28:07,2022-08-07 23:59:59,2,0,2022-08-07 23:59:59,36.78,83100,IT,AVELLINO,AV,CAMPANIA
184,Shipped,StandardOrder,0,0,2022-09-16 15:01:20,2022,202209,2022Q3,2022W37,5,2022-09-17 19:37:19,2022-09-17 23:59:59,1,0,2022-09-17 23:59:59,27.99,50055,IT,LASTRA A SIGNA,FI,TOSCANA
188,Shipped,StandardOrder,0,0,2022-09-17 18:00:21,2022,202209,2022Q3,2022W37,6,2022-09-18 00:32:51,2022-09-17 23:59:59,1,0,2022-09-17 23:59:59,20.99,37011,IT,BARDOLINO,VR,VENETO
242,Shipped,StandardOrder,0,0,2022-09-25 16:31:19,2022,202209,2022Q3,2022W38,7,2022-09-27 21:45:28,2022-09-25 23:59:59,1,0,2022-09-25 23:59:59,20.99,33080,IT,PORCIA,PN,FRIULI-VENEZIA GIULIA
308,Shipped,StandardOrder,0,0,2022-09-28 14:38:56,2022,202209,2022Q3,2022W39,3,2022-10-03 02:37:24,2022-09-28 19:00:00,2,0,2022-09-28 19:00:00,35.98,00146,IT,ROMA,RM,LAZIO
314,Shipped,StandardOrder,0,0,2022-10-02 22:04:40,2022,202210,2022Q4,2022W39,7,2022-10-03 18:32:53,2022-10-03 23:59:59,2,0,2022-10-03 23:59:59,37.98,52100,IT,AREZZO,AR,TOSCANA
353,Shipped,StandardOrder,0,0,2022-10-05 16:59:37,2022,202210,2022Q4,2022W40,3,2022-10-06 03:53:10,2022-10-06 23:59:59,1,0,2022-10-06 23:59:59,18.99,74123,IT,TARANTO,TA,PUGLIA
